Condition	USMLE Classic Presentation	Pathophysiology	Epidemiology	Salient Signs & Symptoms	Time Course	Differential	Diagnostics	Treatment	Never Miss	More Info																
Horner Syndrome	Unilateral miosis, ptosis, anhidrosis; "small pupil, droopy eyelid, no sweat"; may have heterochromia iridis if congenital; associated with neck trauma, neuroblastoma in children, lung cancer in adults	Disruption of oculosympathetic pathway at any point from hypothalamus to eye; first-order neuron (central): hypothalamus to spinal cord; second-order neuron (preganglionic): spinal cord to superior cervical ganglion; third-order neuron (postganglionic): superior cervical ganglion to eye; causes include trauma, tumor (neuroblastoma, Pancoast tumor), dissection, iatrogenic injury	Rare; congenital cases often associated with birth trauma; acquired cases in children most commonly from neuroblastoma (50% of cases); in adults associated with lung cancer, carotid dissection, iatrogenic injury; affects all ages	Classic triad: miosis (small pupil), ptosis (drooping eyelid), anhidrosis (absent sweating); anhidrosis distribution depends on lesion location (facial if preganglionic, none if postganglionic); heterochromia iridis (lighter affected iris) if congenital; enophthalmos (apparent, not true); dilation lag in affected pupil in dim light	Congenital: present from birth; Acquired: acute onset with trauma or dissection; insidious with tumor; symptoms persist unless underlying cause treated	Physiologic anisocoria, third nerve palsy (has dilated pupil, not constricted), Adie tonic pupil, pharmacologic miosis, iris trauma	Clinical diagnosis; pharmacologic testing: cocaine test (affected pupil fails to dilate) or apraclonidine test (affected pupil dilates paradoxically); imaging based on suspected location: brain and cervical spine magnetic resonance imaging for central and preganglionic lesions; chest imaging for preganglionic lesions; neck imaging for all acquired cases; urine catecholamines and abdominal imaging in children to exclude neuroblastoma	Treat underlying cause; neuroblastoma: chemotherapy, surgery, radiation; carotid dissection: anticoagulation or antiplatelet therapy; tumor resection if appropriate; no specific treatment for ptosis or miosis unless cosmetically desired	Y	https://www.ncbi.nlm.nih.gov/books/NBK500000/																
Huntington Disease	Adult with progressive chorea, psychiatric symptoms, and family history of similar illness; "autosomal dominant chorea with anticipation"	Autosomal dominant trinucleotide repeat expansion (cytosine-adenine-guanine greater than 36 repeats) in huntingtin gene on chromosome 4; mutant huntingtin protein causes selective neuronal loss in striatum (caudate and putamen) and cortex; genetic anticipation occurs (earlier onset with paternal transmission)	Prevalence 5 to 10 per 100,000 in populations of European descent; mean age of onset 35 to 45 years; juvenile onset (less than 20 years) in 5 to 10 percent	Motor: chorea (involuntary, irregular, flowing movements), dystonia, rigidity (in juvenile form), bradykinesia, impaired coordination, dysphagia; Psychiatric: depression, irritability, apathy, psychosis, suicidal ideation; Cognitive: executive dysfunction, impaired attention, dementia	Insidious onset; progressive over 15 to 20 years; inverse correlation between repeat length and age of onset; death typically from aspiration pneumonia or other complications	Benign hereditary chorea, neuroacanthocytosis, Wilson disease, chorea-acanthocytosis, dentatorubral-pallidoluysian atrophy, drug-induced chorea, Sydenham chorea	Genetic testing showing cytosine-adenine-guanine repeat expansion greater than 36 (36 to 39 reduced penetrance, 40 or more full penetrance); magnetic resonance imaging shows caudate atrophy with enlarged frontal horns (boxcar ventricles); positron emission tomography shows striatal hypometabolism	Symptomatic treatment: tetrabenazine or deutetrabenazine for chorea (vesicular monoamine transporter 2 inhibitors); antipsychotics for psychiatric symptoms; antidepressants for depression; physical therapy, speech therapy; genetic counseling for family members	N	https://www.uptodate.com/contents/huntington-disease-clinical-features-and-diagnosis																
Infantile Hydrocephalus	Infant with rapidly increasing head circumference, bulging fontanelle, and "setting sun" eyes (downward gaze deviation)	Impaired cerebrospinal fluid circulation due to congenital malformations (aqueductal stenosis, Chiari malformation, Dandy-Walker malformation), intraventricular hemorrhage from prematurity, or infection; leads to ventricular enlargement and elevated intracranial pressure	Most common cause in United States is intraventricular hemorrhage associated with prematurity; globally, infection is most common; approximately 400,000 cases worldwide annually	Head circumference enlarging faster than expected, bulging anterior fontanelle, widely separated cranial sutures, downward deviated gaze (setting sun sign), irritability, lethargy, vomiting, apnea and bradycardia episodes, developmental regression	Progressive over weeks to months; neonates rarely present in distress due to open fontanelles allowing decompression	Benign external hydrocephalus (benign enlargement of subarachnoid space), macrocrania from other causes, brain tumors, subdural collections	Prenatal: fetal ultrasound showing ventriculomegaly (atrial diameter greater than 10 millimeters); Postnatal: head ultrasound through open fontanelle, magnetic resonance imaging preferred over computed tomography to avoid radiation; serial head circumference measurements	Temporizing: ventricular access device or ventriculosubgaleal shunt; Definitive: ventriculoperitoneal shunt or endoscopic third ventriculostomy with or without choroid plexus cauterization	Y	https://www.nejm.org/doi/full/10.1056/NEJMra2116504																
Lambert-Eaton Myasthenic Syndrome	Middle-aged smoker with proximal leg weakness that improves with exercise, dry mouth, and diminished reflexes; "weakness that gets better with use, think small cell lung cancer"	Autoimmune presynaptic disorder with antibodies against P/Q-type voltage-gated calcium channels on presynaptic nerve terminals; reduces acetylcholine vesicle release probability; 50 to 60 percent paraneoplastic (most commonly small cell lung cancer), remainder non-tumor autoimmune	Rare; incidence less than 1 per million per year; prevalence approximately 3 per million; male predominance; mean age of onset 60 years for small cell lung cancer-associated, 35 years for non-tumor	Proximal leg weakness (initial symptom in 80 percent) spreading caudal-to-cranial; autonomic dysfunction (dry mouth in 57 percent, erectile dysfunction in 53 percent, constipation); diminished or absent deep tendon reflexes that may return after exercise; cranial nerve involvement less common than myasthenia gravis; ocular symptoms rare	Progressive over weeks to months; small cell lung cancer-associated progresses more rapidly than non-tumor form	Myasthenia gravis, polymyositis, inclusion body myositis, mitochondrial myopathy, Guillain-Barré syndrome, botulism	Electromyography: small compound muscle action potentials at rest with greater than 100 percent increment after 10 seconds of maximal voluntary contraction or high-frequency (20 to 50 hertz) repetitive nerve stimulation; low-frequency (2 to 5 hertz) stimulation shows decrement; anti-voltage-gated calcium channel antibodies positive in 85 to 90 percent; computed tomography chest for small cell lung cancer screening	Symptomatic: amifampridine (3,4-diaminopyridine) first-line to increase acetylcholine release; Immunotherapy: prednisone plus azathioprine, intravenous immunoglobulin, or plasma exchange for persistent symptoms; Oncologic: treat underlying small cell lung cancer if present (takes priority); Non-tumor form has normal life expectancy	Y	https://www.uptodate.com/contents/lambert-eaton-myasthenic-syndrome																
Millard-Gubler Syndrome	Ipsilateral sixth and seventh nerve palsies with contralateral hemiparesis; "ventral pons crossed syndrome"	Ventral pontine lesion affecting abducens nerve fascicles, facial nerve fascicles, and corticospinal tract; most commonly due to pontine infarction from basilar artery perforating branches; also demyelination, tumor, hemorrhage	Rare; typically affects adults with vascular risk factors; less common than other brainstem syndromes	Ipsilateral: lateral rectus palsy (inability to abduct eye), peripheral facial palsy (facial weakness including forehead); Contralateral: hemiparesis or hemiplegia	Acute onset with vascular causes (minutes to hours); subacute with demyelinating or mass lesions	Foville syndrome (includes gaze palsy), other pontine strokes, multiple sclerosis, pontine glioma, basilar artery thrombosis	Magnetic resonance imaging shows ventral pontine lesion; magnetic resonance angiography to evaluate basilar artery and branches; diffusion-weighted imaging for acute infarction	Acute stroke: thrombolysis or thrombectomy if eligible; secondary prevention with antiplatelet or anticoagulation; physical therapy; eye patching for diplopia	Y	https://www.uptodate.com/contents/overview-of-the-clinical-manifestations-of-posterior-circulation-stroke																
Multiple Sclerosis	Young woman with optic neuritis, internuclear ophthalmoplegia, or transverse myelitis with symptoms separated in time and space; "Charcot triad: nystagmus, intention tremor, scanning speech"	Autoimmune demyelination of central nervous system white matter; T cell-mediated inflammation causes oligodendrocyte damage and myelin loss; formation of demyelinating plaques (sclerosis) disseminated in time and space; axonal damage occurs with disease progression	Most common nontraumatic cause of neurologic disability in young adults; prevalence 200 per 100,000 in United States; female to male ratio 3 to 1; peak onset 20 to 40 years; higher prevalence at northern latitudes	Optic neuritis (painful vision loss, afferent pupillary defect), internuclear ophthalmoplegia, transverse myelitis, Lhermitte sign (electric shock sensation with neck flexion), sensory symptoms, weakness, ataxia, bladder dysfunction, fatigue, heat sensitivity (Uhthoff phenomenon), cognitive impairment	Relapsing-remitting (85 percent): discrete attacks with recovery; Secondary progressive: gradual worsening after relapsing-remitting phase; Primary progressive (15 percent): gradual progression from onset	Neuromyelitis optica spectrum disorder, acute disseminated encephalomyelitis, neurosyphilis, Lyme disease, sarcoidosis, systemic lupus erythematosus, vitamin B12 deficiency, cerebrovascular disease	Magnetic resonance imaging brain and spine showing periventricular, juxtacortical, infratentorial, or spinal cord lesions (Dawson fingers); cerebrospinal fluid with oligoclonal bands, elevated immunoglobulin G index; McDonald criteria require dissemination in space and time; visual evoked potentials	Acute relapse: high-dose intravenous methylprednisolone, plasma exchange for severe relapses; Disease-modifying therapies: first-line (interferon beta, glatiramer acetate, teriflunomide, dimethyl fumarate), high-efficacy (natalizumab, ocrelizumab, alemtuzumab, cladribine); symptomatic management	N	https://www.uptodate.com/contents/multiple-sclerosis-clinical-features-and-diagnosis																
Myasthenia Gravis	Young woman or elderly man with fluctuating ptosis, diplopia, and fatigable weakness that worsens with use; "weakness that gets worse with use, improves with rest"	Autoimmune postsynaptic disorder with antibodies against acetylcholine receptors (85 percent), muscle-specific kinase (5 percent), or lipoprotein receptor-related protein 4; antibodies cause receptor downregulation, destruction, or functional blockade at neuromuscular junction	Incidence 8 to 10 per million per year; prevalence 150 to 250 per million; bimodal age distribution (women in 20s to 30s, men in 60s to 70s); female to male ratio 3 to 2 in younger patients	Ocular: ptosis, diplopia (nearly always present, often asymmetric); Bulbar: dysarthria, dysphagia, facial weakness; Limb: proximal greater than distal weakness; fatigable weakness worsening with repetitive use and throughout day, improving with rest; normal reflexes and sensation	Variable; fluctuating weakness over hours to days; may progress from ocular to generalized over weeks to months; 15 percent remain purely ocular	Lambert-Eaton myasthenic syndrome, botulism, intracranial mass lesion, stroke, Guillain-Barré syndrome, mitochondrial myopathy, oculopharyngeal muscular dystrophy	Antibody testing: acetylcholine receptor antibodies (85 percent sensitive), muscle-specific kinase antibodies, lipoprotein receptor-related protein 4 antibodies; Electromyography: decrement greater than 10 percent on low-frequency (2 to 5 hertz) repetitive nerve stimulation; Edrophonium (Tensilon) test or ice pack test for ptosis; Computed tomography or magnetic resonance imaging chest for thymoma	Symptomatic: pyridostigmine (acetylcholinesterase inhibitor); Immunotherapy: corticosteroids, azathioprine, mycophenolate, rituximab, intravenous immunoglobulin, plasma exchange; Thymectomy for thymoma or generalized acetylcholine receptor-positive myasthenia gravis in patients under 65 years; Myasthenic crisis: intensive care unit monitoring, mechanical ventilation, intravenous immunoglobulin or plasma exchange	Y	https://www.nejm.org/doi/full/10.1056/NEJMra1602678																
Normal Pressure Hydrocephalus	Elderly patient with "wet, wobbly, and wacky" triad: gait disturbance, urinary incontinence, and cognitive impairment	Impaired cerebrospinal fluid dynamics with abnormal intracranial pressure waveforms and compliance despite normal or minimally elevated cerebrospinal fluid pressure on lumbar puncture; communicating hydrocephalus without ventricular obstruction	Typically occurs in persons older than 60 years; idiopathic form more common than secondary form	Gait: wide-based, shuffling, short steps, difficulty initiating walking, freezing, falls with turns, slow velocity (less than 1 meter per second); Urinary: urgency, frequency, difficulty inhibiting bladder emptying; Cognitive: nonamnestic memory impairment (benefits from cues), slowed processing speed, impaired executive function, apathy; no papilledema or severe headaches	Insidious onset over months to years; progressive without treatment	Parkinson disease, Alzheimer dementia, Lewy body dementia, vascular cognitive impairment, spinal stenosis, peripheral neuropathy, asymptomatic ventriculomegaly, medication side effects	Brain magnetic resonance imaging or computed tomography showing ventriculomegaly with effacement of sulci at vertex; prognostic testing: high-volume lumbar puncture (30 to 50 milliliters cerebrospinal fluid removal) with gait assessment, or external lumbar drainage; neuropsychological testing showing frontal-subcortical pattern	Ventriculoperitoneal shunt or ventriculoatrial shunt placement; approximately 63 percent have complete triad, but 96 percent have gait difficulty	N	https://www.nejm.org/doi/full/10.1056/NEJMra2306506																
Organophosphate Poisoning	Cholinergic crisis with salivation, lacrimation, urination, defecation, gastrointestinal distress, emesis, miosis, bronchorrhea, bronchospasm, bradycardia, muscle fasciculations, weakness; "SLUDGE and killer Bs" or "DUMBELS"; exposure to pesticides or nerve agents	Irreversible inhibition of acetylcholinesterase at neural synapses; accumulation of acetylcholine causes overstimulation of muscarinic receptors (SLUDGE symptoms), nicotinic receptors (muscle fasciculations, weakness, paralysis, sympathetic effects), and central nervous system receptors (confusion, seizures, coma, respiratory depression); respiratory failure from central apnea, bronchospasm, secretions, muscle paralysis	Common cause of poisoning worldwide; intentional self-harm, occupational exposure, accidental exposure, chemical warfare; affects all ages; higher mortality in developing countries; intermediate syndrome develops 1-4 days after exposure in 20-68% of cases; delayed neuropathy may occur weeks later	Muscarinic: salivation, lacrimation, urination, defecation, gastrointestinal distress, emesis, miosis, bronchorrhea, bronchospasm, bradycardia; Nicotinic: muscle fasciculations, weakness, paralysis, tachycardia, hypertension, diaphoresis; Central nervous system: confusion, agitation, seizures, coma, respiratory depression; garlic or petroleum odor may be present	Acute: symptoms within 30-90 minutes of ingestion, seconds to minutes with inhalation; may persist for days; Intermediate syndrome: muscle weakness and respiratory failure 1-4 days after exposure; Delayed neuropathy: peripheral neuropathy weeks to months after exposure	Carbamate poisoning (similar but shorter duration), nicotine toxicity, muscarinic mushroom poisoning, nerve agent exposure, other causes of cholinergic crisis or seizures	Low red blood cell cholinesterase and serum cholinesterase levels (may not be immediately available); clinical diagnosis based on history and toxidrome; metabolic acidosis, hyperlactatemia on laboratory studies; response to atropine confirms diagnosis	Decontamination: remove clothing, wash skin with soap and water (providers wear personal protective equipment); Atropine: 1-3 milligrams intravenous, double dose every 5 minutes until atropinization (clear lungs, heart rate greater than 80, systolic blood pressure greater than 80), then continuous infusion; Pralidoxime: 1-2 grams intravenous over 30 minutes, then 0.5-1 gram per hour infusion; Benzodiazepines for seizures; early intubation for respiratory failure; avoid succinylcholine (prolonged paralysis)	Y	https://www.nejm.org/doi/full/10.1056/NEJMra1504690																
Parkinson Disease	Elderly patient with resting tremor, bradykinesia, rigidity, and shuffling gait; "pill-rolling tremor at rest that improves with movement"	Progressive degeneration of dopaminergic neurons in substantia nigra pars compacta; intracellular accumulation of alpha-synuclein (Lewy bodies); leads to dopamine depletion in striatum and motor circuit dysfunction	Second most common neurodegenerative disease; prevalence 1 to 2 per 1000 in general population, 1 percent in those over 60 years; male to female ratio approximately 1.5 to 1	Motor: resting tremor (4 to 6 hertz, asymmetric), bradykinesia, rigidity (cogwheel or lead-pipe), postural instability, shuffling gait, reduced arm swing, masked facies, micrographia; Nonmotor: hyposmia, constipation, rapid eye movement sleep behavior disorder, depression, cognitive impairment	Insidious onset; progressive over years to decades; symptoms typically begin unilaterally then become bilateral; motor symptoms appear after 50 to 80 percent of dopaminergic neurons lost	Essential tremor, drug-induced parkinsonism, vascular parkinsonism, progressive supranuclear palsy, multiple system atrophy, corticobasal degeneration, Lewy body dementia	Clinical diagnosis based on United Kingdom Parkinson Disease Society Brain Bank criteria; requires bradykinesia plus rigidity or resting tremor; supportive: asymmetric onset, excellent response to levodopa; dopamine transporter scan if diagnosis uncertain; magnetic resonance imaging to exclude structural lesions	Levodopa-carbidopa (most effective, gold standard); dopamine agonists (pramipexole, ropinirole); monoamine oxidase B inhibitors (selegiline, rasagiline); catechol-O-methyltransferase inhibitors (entacapone); anticholinergics for tremor in younger patients; deep brain stimulation for advanced disease with motor fluctuations	N	https://www.uptodate.com/contents/clinical-manifestations-of-parkinsons-disease																
Posterior Cord Syndrome	Loss of proprioception, vibration, and fine touch with preserved motor function and pain sensation; "can't tell where limbs are but can move them and feel pain"	Injury to dorsal columns (fasciculus gracilis and cuneatus) from posterior spinal artery ischemia, vitamin B12 deficiency, tabes dorsalis, or direct trauma; spinothalamic and corticospinal tracts spared	Rarest incomplete spinal cord syndrome; more commonly due to non-traumatic causes (vitamin B12 deficiency, syphilis, multiple sclerosis) than trauma	Loss of proprioception, vibration sense, two-point discrimination, and fine touch below lesion; motor function preserved; pain and temperature sensation preserved; sensory ataxia with positive Romberg sign	Variable depending on etiology: acute with trauma or ischemia, subacute to chronic with metabolic or infectious causes	Vitamin B12 deficiency, tabes dorsalis, multiple sclerosis, subacute combined degeneration, Friedreich ataxia, peripheral neuropathy	Magnetic resonance imaging shows posterior column signal abnormality; vitamin B12 and methylmalonic acid levels; syphilis serology; copper levels; neurological examination	Treat underlying cause: vitamin B12 supplementation, penicillin for neurosyphilis; Rehabilitation: physical therapy focusing on gait training and fall prevention; assistive devices	N	https://www.uptodate.com/contents/traumatic-spinal-cord-injury																
Primary Erythromelalgia	Child or young adult with severe burning pain, redness, and warmth in feet or hands triggered by heat or exercise; relieved by cooling	Autosomal dominant gain-of-function mutation in sodium voltage-gated channel alpha subunit 9 gene; encodes voltage-gated sodium channel expressed in dorsal root ganglia and sympathetic neurons; mutation causes hyperexcitability and lowered threshold for action potential firing in nociceptive neurons	Rare; prevalence less than 1 per 100,000; primary (inherited) form typically presents in childhood or adolescence; equal gender distribution	Episodic severe burning pain in distal extremities (feet more than hands); erythema, warmth, swelling of affected areas; triggered by warmth, exercise, standing, alcohol; relieved by cooling, elevation; patients may immerse feet in ice water; skin ulceration from excessive cooling	Episodes last minutes to hours; frequency increases over time; may become continuous; symptoms worsen with age	Secondary erythromelalgia (myeloproliferative disorders, autoimmune disease, medications), peripheral neuropathy, complex regional pain syndrome, Raynaud phenomenon, cellulitis	Clinical diagnosis based on triad of erythema, warmth, and burning pain; genetic testing for sodium voltage-gated channel alpha subunit 9 mutations confirms primary form; skin biopsy shows reduced intraepidermal nerve fiber density; exclude secondary causes (complete blood count, inflammatory markers)	Avoid triggers (heat, tight footwear); cooling measures with caution (avoid tissue damage); medications: gabapentin, carbamazepine, mexiletine (sodium channel blocker), topical lidocaine, tricyclic antidepressants; aspirin for secondary erythromelalgia due to thrombocythemia	N	https://www.uptodate.com/contents/erythromelalgia																
Subarachnoid Hemorrhage	Sudden onset "worst headache of my life" (thunderclap headache) with or without loss of consciousness, neck stiffness, photophobia; "thunderclap equals subarachnoid until proven otherwise"	Rupture of intracranial aneurysm (85 percent) or arteriovenous malformation; blood enters subarachnoid space between arachnoid and pia mater; causes meningeal irritation and increased intracranial pressure	Peak incidence 40 to 60 years; risk factors include hypertension, smoking, family history, polycystic kidney disease; 3 percent of all strokes	Sudden severe headache (thunderclap), loss of consciousness (26 to 53 percent), neck pain or stiffness, photophobia, nausea and vomiting, focal neurologic deficits, seizures, third nerve palsy with posterior communicating artery aneurysm	Sudden onset over seconds; maximal intensity at onset; symptoms persist	Migraine, tension headache, meningitis, cervical artery dissection, reversible cerebral vasoconstriction syndrome, cerebral venous thrombosis, intracerebral hemorrhage	Noncontrast computed tomography head (nearly 100 percent sensitive within 6 hours, 86 to 97 percent sensitive 6 to 72 hours); if computed tomography negative, lumbar puncture showing xanthochromia or red blood cells; computed tomography angiography or digital subtraction angiography to identify aneurysm	Blood pressure control (systolic less than 140 millimeters mercury); nimodipine to prevent vasospasm; antiepileptic medication; neurosurgical or endovascular aneurysm repair (clipping or coiling); intensive care unit monitoring	Y	https://www.nejm.org/doi/full/10.1056/NEJMra2214945																
Subdural Hemorrhage	Elderly patient or patient on anticoagulation with history of minor head trauma (may be remote) presenting with headache, confusion, or focal deficits; "crescent-shaped bleed"	Venous bleeding from tearing of bridging veins between cortex and venous sinuses due to rotational forces; blood accumulates between dura and arachnoid; crosses suture lines but not midline	More common in elderly, alcoholics, patients on anticoagulation; associated with brain atrophy which stretches bridging veins	Headache, confusion, altered mental status, focal neurologic deficits (hemiparesis), seizures; symptoms may be subtle in chronic subdural hematoma; acute subdural may present with rapid deterioration	Acute (less than 3 days), subacute (3 to 21 days), or chronic (greater than 21 days); chronic may have insidious onset over weeks to months	Epidural hematoma, subarachnoid hemorrhage, ischemic stroke, dementia, normal pressure hydrocephalus, brain tumor	Noncontrast computed tomography head shows crescent-shaped (concave) hyperdense (acute) or hypodense (chronic) collection along brain surface; crosses suture lines but not midline	Acute symptomatic: emergent neurosurgical evacuation; reverse coagulopathy; Chronic: surgical drainage for symptomatic or large hematomas; observation for small asymptomatic	Y	https://www.uptodate.com/contents/subdural-hematoma-in-adults-prognosis-and-management																
Tetanus	Patient with trismus (lockjaw), risus sardonicus (sardonic smile), opisthotonus (arched back) following penetrating wound; "rigid paralysis with muscle spasms"	Clostridium tetani spores enter through wound; vegetative bacteria produce tetanospasmin toxin; toxin blocks inhibitory neurotransmitter release (gamma-aminobutyric acid, glycine) from Renshaw cells in spinal cord; causes uninhibited motor neuron firing and sustained muscle contraction	Rare in developed countries due to vaccination; approximately 30 cases per year in United States; unvaccinated or inadequately vaccinated individuals; contaminated wounds (puncture wounds, burns, injection drug use)	Trismus (lockjaw), risus sardonicus (facial muscle spasm causing grimace), dysphagia, neck stiffness, opisthotonus (severe back arching), generalized muscle rigidity and spasms triggered by stimuli; autonomic instability (tachycardia, hypertension, arrhythmias); patient remains alert and conscious; no sensory loss	Incubation 3 to 21 days (average 8 days); shorter incubation associated with worse prognosis; generalized tetanus progresses over days; recovery over weeks to months	Strychnine poisoning, neuroleptic malignant syndrome, serotonin syndrome, meningitis, encephalitis, dystonic reaction, hypocalcemic tetany, seizure disorder, rabies	Clinical diagnosis; no laboratory test confirms tetanus; wound culture may grow Clostridium tetani but negative culture does not exclude diagnosis; spatula test (touching posterior pharynx causes jaw spasm, highly specific)	Human tetanus immunoglobulin (3000 to 6000 units intramuscularly); metronidazole or penicillin G to eradicate bacteria; wound debridement; benzodiazepines for muscle spasms; neuromuscular blockade and mechanical ventilation for severe cases; magnesium sulfate for autonomic instability; tetanus toxoid vaccination (disease does not confer immunity)	Y	https://www.uptodate.com/contents/tetanus																
Wallenberg Syndrome	Lateral medullary stroke with crossed sensory loss, ipsilateral Horner syndrome, ataxia, dysphagia, and vertigo; "Don't pick a PICA (posterior inferior cerebellar artery), a bad SIde"	Ischemic infarction of lateral medulla due to posterior inferior cerebellar artery or vertebral artery occlusion; affects spinothalamic tract, nucleus ambiguus, vestibular nuclei, sympathetic fibers, inferior cerebellar peduncle, and spinal trigeminal nucleus	Most common brainstem stroke syndrome; typically affects middle-aged to older adults; vertebral artery dissection is common cause in younger patients	Ipsilateral: facial pain and temperature loss, Horner syndrome (ptosis, miosis, anhidrosis), ataxia, dysmetria; Contralateral: body pain and temperature loss; Bilateral: dysphagia, hoarseness, hiccups, vertigo, nystagmus, nausea and vomiting	Acute onset over minutes to hours; symptoms may evolve over 24 to 48 hours	Peripheral vestibulopathy, cerebellar stroke, multiple sclerosis, other brainstem strokes, vertebral artery dissection	Magnetic resonance imaging with diffusion-weighted imaging shows lateral medullary infarction; magnetic resonance angiography or computed tomography angiography to evaluate vertebral and posterior inferior cerebellar artery; consider vessel wall imaging if dissection suspected	Acute: intravenous thrombolysis if within window and no contraindications, mechanical thrombectomy for large vessel occlusion; Secondary prevention: antiplatelet therapy or anticoagulation depending on etiology; Symptomatic: dysphagia management, vestibular rehabilitation	Y	https://www.nejm.org/doi/full/10.1056/NEJMra2214945																
Weber Syndrome	Ipsilateral third nerve palsy with contralateral hemiparesis; "cerebral peduncle stroke, most common midbrain syndrome"	Ventral midbrain lesion affecting oculomotor nerve fascicles and cerebral peduncle (corticospinal and corticobulbar tracts); most commonly due to posterior cerebral artery branch occlusion; also tuberculoma, lymphoma, aneurysm, toxoplasmosis in immunocompromised	Most common midbrain syndrome; typically affects adults with vascular risk factors; tuberculoma more common in endemic areas; toxoplasmosis in acquired immunodeficiency syndrome patients	Ipsilateral: third nerve palsy (ptosis, mydriasis, eye down and out, impaired adduction, elevation, depression); Contralateral: hemiparesis or hemiplegia affecting face, arm, and leg	Acute onset with stroke (minutes to hours); subacute with mass lesions or infections (days to weeks)	Benedikt syndrome (has tremor and ataxia), Claude syndrome (has ataxia), other midbrain strokes, brain tumor, tuberculoma, toxoplasmosis	Magnetic resonance imaging shows ventral midbrain lesion involving cerebral peduncle; magnetic resonance angiography for vascular assessment; contrast enhancement for mass lesions; human immunodeficiency virus testing and toxoplasma serology if immunocompromised; tuberculosis workup if indicated	Acute stroke: thrombolysis or thrombectomy if eligible; secondary prevention; treat underlying cause: antitubercular therapy and steroids for tuberculoma, antiretroviral therapy and pyrimethamine-sulfadiazine for toxoplasmosis; physical therapy	Y	https://www.uptodate.com/contents/overview-of-the-clinical-manifestations-of-posterior-circulation-stroke																
																										
																										
																										
																										
